question_id,question,answer,job_role,question_type
2058,What is the purpose of API rate limiting?,"API rate limiting restricts the number of requests a client can make within a time period. It prevents abuse, protects server resources, ensures fair usage, and mitigates DDoS attacks.",Full Stack Web Developer,Technical
2059,What is the role of Nginx in a full stack application?,"Nginx serves as a web server, reverse proxy, and load balancer. It handles static file serving, SSL termination, request routing to backend services, and connection management efficiently.",Full Stack Web Developer,Technical
2060,Explain environment variables and their importance.,"Environment variables store configuration values and secrets outside the codebase. They enable different configurations per environment, prevent sensitive data from being committed to version control.",Full Stack Web Developer,Technical
2061,What is database indexing and when should you use it?,"Database indexing creates data structures that speed up data retrieval. Use indexes on columns frequently used in WHERE, JOIN, and ORDER BY clauses, but be aware they slow down write operations.",Full Stack Web Developer,Technical
2062,Explain the concept of server-side caching.,"Server-side caching stores frequently accessed data in memory to reduce database queries and computation. Strategies include query result caching, page caching, and object caching with TTL-based invalidation.",Full Stack Web Developer,Technical
2063,Why do you want to become a data scientist?,"I am passionate about extracting meaningful insights from data to solve real-world problems. I enjoy the combination of statistical analysis, programming, and domain knowledge that data science requires.",Data Scientist,HR
2064,How do you stay updated with the latest developments in data science?,"I regularly read research papers on arXiv, follow industry blogs, participate in Kaggle competitions, attend conferences like NeurIPS, and take online courses to stay current with new techniques.",Data Scientist,HR
2065,Describe a challenging data project you worked on.,"I worked on a customer churn prediction project with highly imbalanced data. I used SMOTE for oversampling, feature engineering from user behavior logs, and an ensemble model that improved prediction accuracy by 25%.",Data Scientist,HR
2066,How do you handle missing data in a dataset?,"I first analyze the pattern of missingness. Then I apply appropriate techniques such as mean or median imputation for random missing data, forward fill for time series, or model-based imputation for complex patterns.",Data Scientist,HR
2067,How do you explain complex data findings to non-technical stakeholders?,"I use clear visualizations, analogies, and business-relevant language. I focus on the impact and actionable insights rather than technical details, tailoring the depth based on the audience.",Data Scientist,HR
2068,Where do you see yourself in 5 years as a data scientist?,"I see myself leading a data science team, driving strategic decisions through advanced analytics, and mentoring junior data scientists while continuing to deepen my expertise in specialized areas.",Data Scientist,HR
2069,What is your greatest strength as a data scientist?,"My greatest strength is my ability to bridge the gap between technical analysis and business value, translating complex models into actionable recommendations that stakeholders can understand and implement.",Data Scientist,HR
2070,How do you prioritize tasks when working on multiple data projects?,"I prioritize based on business impact, deadlines, and dependencies. I break projects into milestones, communicate timelines clearly, and use agile methodologies to manage competing priorities effectively.",Data Scientist,HR
2071,Tell us about a time you had to work with a difficult team member.,"I encountered a colleague who disagreed with my modeling approach. I listened to their concerns, presented data supporting my method, and we ultimately combined our approaches for a better solution.",Data Scientist,HR
2072,How do you handle feedback on your data analysis?,"I welcome constructive criticism as it helps improve my work. I review feedback objectively, ask clarifying questions if needed, and iterate on my analysis to incorporate valid suggestions.",Data Scientist,HR
2073,What motivates you in your work as a data scientist?,"I am motivated by solving real-world problems with data-driven insights, the intellectual challenge of finding patterns in complex data, and seeing my models create tangible business impact.",Data Scientist,HR
2074,How do you handle tight deadlines on data projects?,"I plan ahead by breaking work into smaller tasks, prioritize key deliverables, communicate proactively about progress, and focus on delivering a solid minimum viable analysis that can be refined later.",Data Scientist,HR
2075,What is your approach to learning a new machine learning technique?,"I start by studying the theoretical foundations, then implement the technique from scratch to understand it deeply, and finally apply it to real datasets to gain practical experience.",Data Scientist,HR
2076,What is your biggest weakness related to data science?,I sometimes spend too much time optimizing models for marginal improvements. I have learned to set performance thresholds in advance and focus on delivering good enough solutions on time.,Data Scientist,HR
2077,How do you ensure the ethical use of data in your projects?,"I follow data privacy regulations, check for bias in training data and model outputs, ensure transparency in methodology, and consider the broader societal impact of my predictions.",Data Scientist,HR
2078,What data science tools and programming languages are you proficient in?,"I am proficient in Python and R for analysis, SQL for data querying, TensorFlow and PyTorch for deep learning, and Tableau and Power BI for visualization, along with cloud platforms.",Data Scientist,HR
2079,How do you validate the results of your data analysis?,"I use cross-validation, statistical significance tests, out-of-sample testing, and peer review. I also sanity-check results against domain knowledge and business expectations.",Data Scientist,HR
2080,Why should we hire you for this data scientist position?,"I bring a strong combination of technical skills in machine learning and statistics, practical experience delivering impactful projects, and the ability to communicate findings effectively to drive business decisions.",Data Scientist,HR
2081,How do you handle ambiguity in project requirements?,"I ask clarifying questions, propose multiple approaches with trade-offs, build quick prototypes to validate assumptions, and iterate with stakeholders to refine requirements progressively.",Data Scientist,HR
2082,Describe your experience working in cross-functional teams.,"I have collaborated with product managers, engineers, and business analysts on multiple projects. I value diverse perspectives and actively ensure data science work aligns with broader team goals.",Data Scientist,HR
2083,Why did you choose web development as your career?,I chose web development because I enjoy building interactive user experiences that millions of people can access. The combination of creativity and technical problem-solving makes it deeply satisfying.,Web Developer,HR
2084,How do you keep up with rapidly changing web technologies?,"I follow leading tech blogs, participate in open-source projects, attend web development conferences, build side projects with new frameworks, and engage with developer communities online.",Web Developer,HR
2085,Describe a web project you are most proud of.,"I built a responsive e-commerce platform with real-time inventory updates, progressive web app support, and accessibility compliance that increased mobile conversions by 35%.",Web Developer,HR
2086,How do you handle browser compatibility issues?,"I use progressive enhancement, test across major browsers, leverage polyfills and transpilers like Babel, follow web standards, and use tools like BrowserStack for cross-browser testing.",Web Developer,HR
2087,What do you do when you are stuck on a coding problem?,"I debug systematically by isolating the issue, consult official documentation, search for similar problems in developer forums, and if still stuck, discuss the approach with colleagues.",Web Developer,HR
2088,How do you approach responsive design?,"I follow a mobile-first approach, use flexible grid systems, implement CSS media queries for breakpoints, use relative units, and test on various devices and screen sizes throughout development.",Web Developer,HR
2089,How do you handle a disagreement with a designer about UI implementation?,"I discuss the technical constraints and trade-offs openly, present alternative solutions that balance user experience with feasibility, and collaborate to find the best compromise.",Web Developer,HR
2090,What is your approach to code reviews?,"I provide constructive, specific feedback focused on code quality, readability, and potential bugs. I also learn from reviewing others code and appreciate when colleagues review mine.",Web Developer,HR
2091,How do you ensure website security?,"I follow OWASP guidelines, sanitize all user inputs, implement proper authentication and authorization, use HTTPS, set security headers, and conduct regular security audits.",Web Developer,HR
2092,Where do you see yourself in 5 years in web development?,"I see myself leading front-end architecture decisions, mentoring junior developers, and potentially transitioning into a full-stack technical lead role.",Web Developer,HR
2093,How do you handle tight deadlines on web projects?,"I prioritize features by business impact, communicate realistic timelines to stakeholders, break work into manageable sprints, and focus on delivering a functional MVP first.",Web Developer,HR
2094,What is your experience with agile methodologies?,"I actively participate in scrum ceremonies including sprint planning, daily stand-ups, retrospectives, and sprint reviews. I value iterative development and continuous improvement.",Web Developer,HR
2095,How do you approach performance optimization?,"I use browser dev tools to profile performance, optimize critical rendering path, implement lazy loading, minimize bundle sizes, leverage caching, and monitor core web vitals.",Web Developer,HR
2096,Describe a time you had to learn a new framework quickly.,"When my team adopted React, I spent a weekend learning the fundamentals through docs and tutorials, built a small project, then contributed to our production codebase within the first week.",Web Developer,HR
2097,What is your biggest strength as a web developer?,"My biggest strength is attention to detail in both user interface design and code quality, ensuring that applications are not only functional but also polished and maintainable.",Web Developer,HR
2098,How do you test your web applications?,"I write unit tests with Jest, integration tests with Testing Library, end-to-end tests with Cypress, and perform manual testing for visual and interaction quality.",Web Developer,HR
2099,How do you handle constructive criticism of your code?,"I view criticism as a learning opportunity. I analyze the feedback objectively, understand the reasoning behind suggestions, and improve my coding practices accordingly.",Web Developer,HR
2100,What motivates you as a web developer?,Creating user-friendly interfaces that solve real problems motivates me. Seeing users interact positively with something I built is the most rewarding part of my career.,Web Developer,HR
2101,How do you mentor junior developers?,"I use pair programming, provide detailed code review feedback, share learning resources, create documentation, and create a safe environment where questions are encouraged.",Web Developer,HR
2102,Why should we hire you for this position?,"I bring strong technical skills in modern web technologies, a collaborative mindset, proven ability to deliver high-quality projects on time, and a genuine passion for continuous learning.",Web Developer,HR
2103,Why are you interested in cybersecurity?,I am passionate about protecting systems and data from increasingly sophisticated threats. The constantly evolving landscape of cybersecurity provides intellectual challenges that keep me engaged and motivated.,Cybersecurity Engineer,HR
2104,How do you stay current with cybersecurity threats and trends?,"I follow CVE databases, read threat intelligence reports, attend security conferences like DEF CON and Black Hat, participate in CTF competitions, and maintain professional certifications.",Cybersecurity Engineer,HR
2105,Describe a security incident you helped resolve.,"I identified a phishing campaign targeting our organization, contained compromised accounts within 2 hours, led the forensic investigation, and implemented enhanced email security controls to prevent recurrence.",Cybersecurity Engineer,HR
2106,How do you handle a situation where an employee violates security policy?,"I document the incident, assess the severity, educate the employee on the policy and its importance, implement corrective measures, and review whether the policy itself needs clarification.",Cybersecurity Engineer,HR
2107,What certifications do you hold or are pursuing?,I hold CompTIA Security+ and am actively pursuing CISSP certification. I also maintain hands-on skills through platforms like HackTheBox and TryHackMe for practical experience.,Cybersecurity Engineer,HR
2108,How do you explain cybersecurity risks to non-technical management?,"I use business impact language with concrete examples, quantify risks in financial terms when possible, use visual risk matrices, and translate technical vulnerabilities into business consequences.",Cybersecurity Engineer,HR
2109,What would you do if you discovered a zero-day vulnerability?,"I would immediately isolate affected systems, assess the scope and impact, implement temporary mitigations, notify relevant stakeholders and vendors, and document the entire response process.",Cybersecurity Engineer,HR
2110,How do you balance security with user convenience?,"I implement layered security that minimizes user friction, use risk-based authentication, deploy single sign-on solutions, and design security controls that are transparent to users whenever possible.",Cybersecurity Engineer,HR
2111,Where do you see yourself in 5 years in cybersecurity?,"I see myself leading a security operations team, specializing in threat intelligence or security architecture, and contributing to the broader security community through research and mentoring.",Cybersecurity Engineer,HR
2112,Describe your experience with incident response.,"I have led incident response teams through the full lifecycle including preparation, detection, containment, eradication, recovery, and lessons learned, handling ransomware, phishing, and insider threats.",Cybersecurity Engineer,HR
2113,How do you handle stress during a security breach?,"I stay calm by following established incident response procedures, maintain clear communication with the team, focus on systematic containment, and prioritize actions based on impact.",Cybersecurity Engineer,HR
2114,What is your approach to security awareness training?,"I develop engaging, role-specific training programs with real-world scenarios, conduct regular simulated phishing exercises, track metrics, and adapt content based on emerging threats.",Cybersecurity Engineer,HR
2115,How do you prioritize multiple security vulnerabilities?,"I prioritize using CVSS scores, exploitability, business impact, exposure, and available resources. Critical vulnerabilities in internet-facing systems get immediate attention.",Cybersecurity Engineer,HR
2116,What is your biggest weakness in cybersecurity?,"I sometimes over-analyze threats, which can slow down decision-making. I have learned to set time limits for analysis and make decisions with available information rather than waiting for perfect data.",Cybersecurity Engineer,HR
2117,How do you handle disagreements with developers about security requirements?,"I present data on the risks, demonstrate potential attack scenarios, propose practical solutions that meet both security and development needs, and collaborate to find acceptable compromises.",Cybersecurity Engineer,HR
2118,What motivates you in cybersecurity?,Protecting organizations and their customers from evolving threats motivates me. The intellectual challenge of staying ahead of attackers and the meaningful impact of security work drive my passion.,Cybersecurity Engineer,HR
2119,How do you ensure compliance with security regulations?,"I conduct regular internal audits, maintain comprehensive documentation, implement automated compliance monitoring, provide staff training, and stay updated on regulatory changes.",Cybersecurity Engineer,HR
2120,Describe a time you had to learn a new security tool quickly.,"When we adopted a new SIEM platform, I studied the documentation, set up a lab environment, completed vendor training within a week, and led the production deployment for the team.",Cybersecurity Engineer,HR
2121,How do you approach threat modeling?,"I systematically identify assets, enumerate potential threats using frameworks like STRIDE, assess vulnerabilities, evaluate risks, and define mitigations prioritized by likelihood and impact.",Cybersecurity Engineer,HR
2122,Why should we hire you for this cybersecurity role?,"I bring hands-on experience in threat detection and incident response, strong analytical skills, relevant certifications, and a proactive security mindset focused on preventing incidents before they occur.",Cybersecurity Engineer,HR
2123,Why did you choose full stack development?,"I enjoy working across the entire application stack, from designing user interfaces to building APIs and managing databases. Full stack development lets me understand and own the complete product.",Full Stack Web Developer,HR
2124,How do you balance frontend and backend work?,"I prioritize based on project needs and sprint goals. I allocate focused blocks for each area, use tools that bridge both sides, and switch contexts efficiently by maintaining clear architecture.",Full Stack Web Developer,HR
2125,Describe a full stack project you are proud of.,"I built a real-time collaboration platform using React, Node.js, and PostgreSQL with WebSocket support that scaled to handle 10000 concurrent users with sub-100ms response times.",Full Stack Web Developer,HR
2126,How do you handle technical debt in a full stack project?,"I identify and document technical debt, prioritize it alongside feature work based on risk and impact, allocate time in each sprint for refactoring, and gradually improve code quality.",Full Stack Web Developer,HR
2127,What is your approach to debugging across the full stack?,"I trace the full request lifecycle using browser dev tools for frontend, server logs and debuggers for backend, and database query analyzers, narrowing down issues systematically.",Full Stack Web Developer,HR
2128,How do you handle deployments and DevOps?,"I set up CI/CD pipelines with automated testing, containerize applications with Docker, use infrastructure as code with Terraform, and implement monitoring and alerting for production systems.",Full Stack Web Developer,HR
2129,How do you collaborate with designers and product managers?,"I maintain regular communication through shared tools, participate actively in design reviews, provide technical feasibility input early, and iterate on feedback to align implementation with vision.",Full Stack Web Developer,HR
2130,Where do you see yourself in 5 years as a full stack developer?,"I see myself in a software architect role, designing scalable distributed systems, mentoring development teams, and driving technical strategy for complex products.",Full Stack Web Developer,HR
2131,How do you learn new technologies across the stack?,"I build side projects combining new frontend and backend technologies, follow official documentation and courses, contribute to open source, and attend tech meetups and conferences.",Full Stack Web Developer,HR
2132,What is your biggest challenge as a full stack developer?,The biggest challenge is maintaining deep expertise across both frontend and backend while technologies evolve rapidly. I address this by focusing on fundamentals and learning patterns over specific tools.,Full Stack Web Developer,HR
2133,How do you ensure code quality across the full stack?,"I implement linting, comprehensive test suites covering unit and integration tests, enforce code review processes, maintain consistent coding standards, and use automated quality gates.",Full Stack Web Developer,HR
2134,How do you handle conflicting priorities between frontend and backend tasks?,"I assess business impact and user-facing urgency, communicate trade-offs with stakeholders, negotiate realistic timelines, and sometimes parallelize work by delegating to team members.",Full Stack Web Developer,HR
2135,Describe your experience with database design.,"I have designed normalized relational schemas with proper indexing, implemented NoSQL document models for flexible data, and optimized query performance through profiling and denormalization where appropriate.",Full Stack Web Developer,HR
2136,How do you handle security across the full stack?,"I implement input validation on the frontend, authentication and authorization on the backend, encrypted data storage, secure API design, and follow OWASP best practices throughout.",Full Stack Web Developer,HR
2137,What is your experience with cloud services?,"I have deployed applications on AWS using EC2, S3, Lambda, and RDS. I have also used GCP and Azure for specific projects, implementing auto-scaling, CDN, and managed database services.",Full Stack Web Developer,HR
2138,How do you manage state in a full stack application?,"I use client-side state management with tools like Redux for UI state, server-side sessions or JWT for authentication, and database persistence for application data, keeping each layer appropriate.",Full Stack Web Developer,HR
2139,What motivates you in full stack development?,Building complete products from user interface to database and seeing the full impact of my work motivates me. I love the variety and the ability to solve problems at any layer of the stack.,Full Stack Web Developer,HR
2140,How do you handle API versioning?,"I use URL-based or header-based versioning, maintain backward compatibility for existing consumers, document breaking changes clearly, and provide migration guides when deprecating old versions.",Full Stack Web Developer,HR
2141,How do you ensure your applications are accessible?,"I follow WCAG guidelines, use semantic HTML, implement ARIA attributes, ensure keyboard navigation, maintain sufficient color contrast, and test with screen readers and accessibility audit tools.",Full Stack Web Developer,HR
2142,Why should we hire you as a full stack developer?,"I deliver end-to-end solutions with proven expertise in modern frontend and backend technologies, strong DevOps skills, and a track record of building scalable, production-ready applications.",Full Stack Web Developer,HR
2143,Find the value of 15% of 240. (A) 32 (B) 36 (C) 38 (D) 40,(B),Data Scientist,Aptitude
2144,"If x + y = 10 and x - y = 4, find x. (A) 5 (B) 6 (C) 7 (D) 8",(C),Data Scientist,Aptitude
2145,A train travels 360 km in 6 hours. What is its speed in km/hr? (A) 50 (B) 55 (C) 60 (D) 65,(C),Data Scientist,Aptitude
2146,What is the probability of getting a head in a single coin toss? (A) 0.25 (B) 0.5 (C) 0.75 (D) 1,(B),Data Scientist,Aptitude
2147,"The mean of 5, 10, 15, 20, 25 is (A) 12 (B) 13 (C) 15 (D) 17",(C),Data Scientist,Aptitude
2148,"If a dataset has values 2, 4, 4, 4, 5, 5, 7, 9, the mode is (A) 2 (B) 4 (C) 5 (D) 7",(B),Data Scientist,Aptitude
2149,"What is the median of 3, 7, 8, 12, 14? (A) 7 (B) 8 (C) 10 (D) 12",(B),Data Scientist,Aptitude
2150,Convert 0.75 to a fraction. (A) 1/2 (B) 3/5 (C) 3/4 (D) 4/5,(C),Data Scientist,Aptitude
2151,What is the square root of 144? (A) 10 (B) 11 (C) 12 (D) 13,(C),Data Scientist,Aptitude
2152,"If 3x = 27, then x = ? (A) 3 (B) 6 (C) 9 (D) 12",(C),Data Scientist,Aptitude
2153,A pie chart has a sector of 90 degrees. What percentage does it represent? (A) 20% (B) 25% (C) 30% (D) 35%,(B),Data Scientist,Aptitude
2154,How many ways can 5 people be arranged in a line? (A) 60 (B) 100 (C) 120 (D) 150,(C),Data Scientist,Aptitude
2155,"If P(A) = 0.3 and P(B) = 0.4 and they are independent, P(A and B) = ? (A) 0.10 (B) 0.12 (C) 0.14 (D) 0.70",(B),Data Scientist,Aptitude
2156,What is 7! / 5!? (A) 21 (B) 35 (C) 42 (D) 56,(C),Data Scientist,Aptitude
2157,"The variance of 2, 4, 6, 8, 10 is (A) 4 (B) 6 (C) 8 (D) 10",(C),Data Scientist,Aptitude
2158,What is log base 10 of 1000? (A) 2 (B) 3 (C) 4 (D) 5,(B),Data Scientist,Aptitude
2159,"In a normal distribution, approximately what percent of data lies within 1 standard deviation? (A) 50% (B) 68% (C) 95% (D) 99%",(B),Data Scientist,Aptitude
2160,"If the correlation coefficient is -0.9, the relationship is (A) Strong positive (B) Weak positive (C) Strong negative (D) No correlation",(C),Data Scientist,Aptitude
2161,What is 2^10? (A) 512 (B) 1024 (C) 2048 (D) 4096,(B),Data Scientist,Aptitude
2162,A dataset has a skewness of 0. It is (A) Left skewed (B) Right skewed (C) Symmetric (D) Bimodal,(C),Data Scientist,Aptitude
2163,How many subsets does a set of 4 elements have? (A) 8 (B) 12 (C) 16 (D) 20,(C),Data Scientist,Aptitude
2164,What is the LCM of 12 and 18? (A) 24 (B) 36 (C) 48 (D) 72,(B),Data Scientist,Aptitude
2165,The GCD of 24 and 36 is (A) 6 (B) 8 (C) 12 (D) 18,(C),Data Scientist,Aptitude
2166,"If a coin is tossed 3 times, how many possible outcomes? (A) 4 (B) 6 (C) 8 (D) 12",(C),Data Scientist,Aptitude
2167,"What is the range of 5, 8, 12, 3, 20? (A) 12 (B) 15 (C) 17 (D) 20",(C),Data Scientist,Aptitude
2168,A bag has 3 red and 5 blue balls. Probability of picking red is (A) 1/8 (B) 3/8 (C) 5/8 (D) 1/3,(B),Data Scientist,Aptitude
2169,Simplify: (3/4) + (1/4) (A) 1/2 (B) 3/4 (C) 1 (D) 5/4,(C),Data Scientist,Aptitude
2170,What is 25% of 800? (A) 150 (B) 175 (C) 200 (D) 225,(C),Data Scientist,Aptitude
2171,"If a die is rolled, probability of getting an even number is (A) 1/6 (B) 1/3 (C) 1/2 (D) 2/3",(C),Data Scientist,Aptitude
2172,What is the value of 5C2? (A) 5 (B) 10 (C) 15 (D) 20,(B),Data Scientist,Aptitude
2173,The standard deviation of a constant dataset is (A) 0 (B) 1 (C) The constant value (D) Undefined,(A),Data Scientist,Aptitude
2174,What is the interquartile range if Q1=10 and Q3=30? (A) 10 (B) 15 (C) 20 (D) 30,(C),Data Scientist,Aptitude
2175,"If y = 2x + 3 and x = 4, then y = ? (A) 8 (B) 9 (C) 10 (D) 11",(D),Data Scientist,Aptitude
2176,How many diagonals does a hexagon have? (A) 6 (B) 7 (C) 8 (D) 9,(D),Data Scientist,Aptitude
2177,What is the sum of the first 10 natural numbers? (A) 45 (B) 50 (C) 55 (D) 60,(C),Data Scientist,Aptitude
2178,A data point 3 standard deviations from the mean is considered (A) Normal (B) Unusual (C) An outlier (D) The median,(C),Data Scientist,Aptitude
2179,What is 10P3? (A) 120 (B) 360 (C) 720 (D) 1000,(C),Data Scientist,Aptitude
2180,"In Bayes theorem, P(A|B) depends on (A) P(B|A) only (B) P(A) and P(B) only (C) P(B|A), P(A), and P(B) (D) None",(C),Data Scientist,Aptitude
2181,What is the z-score of a value equal to the mean? (A) -1 (B) 0 (C) 1 (D) Undefined,(B),Data Scientist,Aptitude
2182,A box plot with a long right whisker suggests (A) Left skew (B) Right skew (C) Symmetry (D) No data,(B),Data Scientist,Aptitude
2183,What is the expected value of a fair die roll? (A) 3 (B) 3.5 (C) 4 (D) 4.5,(B),Data Scientist,Aptitude
2184,"If two events are mutually exclusive, P(A or B) = (A) P(A)*P(B) (B) P(A)+P(B) (C) P(A)-P(B) (D) 0",(B),Data Scientist,Aptitude
2185,What is the coefficient of variation if mean=50 and SD=10? (A) 10% (B) 15% (C) 20% (D) 25%,(C),Data Scientist,Aptitude
2186,The 75th percentile is the same as (A) Q1 (B) Q2 (C) Q3 (D) Q4,(C),Data Scientist,Aptitude
2187,How many permutations of the word DATA are there? (A) 6 (B) 12 (C) 18 (D) 24,(B),Data Scientist,Aptitude
2188,"If P(A) = 0.6, then P(not A) = (A) 0.2 (B) 0.3 (C) 0.4 (D) 0.6",(C),Data Scientist,Aptitude
2189,What is the area under a standard normal curve? (A) 0 (B) 0.5 (C) 1 (D) 2,(C),Data Scientist,Aptitude
2190,A sample of size 100 has a standard error of 2. The SD is (A) 10 (B) 15 (C) 20 (D) 25,(C),Data Scientist,Aptitude
2191,What type of chart is best for showing proportions? (A) Bar (B) Pie (C) Line (D) Scatter,(B),Data Scientist,Aptitude
2192,The complement of a probability of 0.35 is (A) 0.35 (B) 0.55 (C) 0.65 (D) 0.75,(C),Data Scientist,Aptitude
2193,What is the slope of the line y = 3x + 7? (A) 3 (B) 7 (C) 10 (D) 21,(A),Data Scientist,Aptitude
2194,"If n=6, how many combinations of 2 items? (A) 10 (B) 12 (C) 15 (D) 20",(C),Data Scientist,Aptitude
2195,What is the harmonic mean of 2 and 8? (A) 2.8 (B) 3.2 (C) 4.0 (D) 5.0,(B),Data Scientist,Aptitude
2196,Convert 5/8 to a decimal. (A) 0.525 (B) 0.575 (C) 0.600 (D) 0.625,(D),Data Scientist,Aptitude
2197,A profit of 20% on cost price of 500 gives selling price of (A) 550 (B) 575 (C) 600 (D) 625,(C),Data Scientist,Aptitude
2198,"If a matrix is 3x4, how many elements does it have? (A) 7 (B) 10 (C) 12 (D) 15",(C),Data Scientist,Aptitude
2199,What is the trace of a 2x2 identity matrix? (A) 0 (B) 1 (C) 2 (D) 4,(C),Data Scientist,Aptitude
2200,The determinant of a singular matrix is (A) 0 (B) 1 (C) -1 (D) Undefined,(A),Data Scientist,Aptitude
2201,An eigenvalue of the identity matrix is (A) 0 (B) 1 (C) -1 (D) 2,(B),Data Scientist,Aptitude
2202,"What is the dot product of (1,2) and (3,4)? (A) 7 (B) 10 (C) 11 (D) 14",(C),Data Scientist,Aptitude
2203,"A vector of magnitude 5 has components (3, y). Find y. (A) 3 (B) 4 (C) 5 (D) 6",(B),Data Scientist,Aptitude
2204,What is the cross product dimension for 3D vectors? (A) Scalar (B) 2D vector (C) 3D vector (D) Matrix,(C),Data Scientist,Aptitude
2205,The transpose of a 2x3 matrix is (A) 2x3 (B) 3x2 (C) 3x3 (D) 2x2,(B),Data Scientist,Aptitude
2206,"If A is orthogonal, then A*A^T = (A) 0 (B) A (C) I (D) A^T",(C),Data Scientist,Aptitude
2207,What is the rank of a 3x3 identity matrix? (A) 1 (B) 2 (C) 3 (D) 9,(C),Data Scientist,Aptitude
2208,"Gradient of f(x,y) = x^2 + y^2 at (1,1) is (A) (1,1) (B) (2,2) (C) (3,3) (D) (4,4)",(B),Data Scientist,Aptitude
2209,The partial derivative of xy with respect to x is (A) x (B) y (C) xy (D) 1,(B),Data Scientist,Aptitude
2210,What is the integral of 2x dx? (A) x (B) x^2 (C) 2x^2 (D) x^2 + C,(D),Data Scientist,Aptitude
2211,The derivative of e^x is (A) e^x (B) xe^x (C) e (D) x,(A),Data Scientist,Aptitude
2212,Limit of (1+1/n)^n as n approaches infinity is (A) 1 (B) 2 (C) e (D) pi,(C),Data Scientist,Aptitude
2213,What is the second derivative of x^3? (A) 3x (B) 3x^2 (C) 6x (D) 6,(C),Data Scientist,Aptitude
2214,The chain rule is used for (A) Sum of functions (B) Product of functions (C) Composite functions (D) Inverse functions,(C),Data Scientist,Aptitude
2215,Taylor series of e^x centered at 0 starts with (A) 1+x (B) x+x^2 (C) 1+2x (D) x^2,(A),Data Scientist,Aptitude
2216,"In gradient descent, learning rate that is too high causes (A) Slow convergence (B) Overshooting (C) Perfect fit (D) Underfitting",(B),Data Scientist,Aptitude
2217,The Hessian matrix contains (A) First derivatives (B) Second derivatives (C) Eigenvalues (D) Gradients,(B),Data Scientist,Aptitude
2218,A convex function has (A) Multiple minima (B) One global minimum (C) No minimum (D) Multiple maxima,(B),Data Scientist,Aptitude
2219,"L1 norm of vector (3,-4) is (A) 5 (B) 7 (C) 12 (D) 25",(B),Data Scientist,Aptitude
2220,"L2 norm of vector (3,4) is (A) 5 (B) 7 (C) 12 (D) 25",(A),Data Scientist,Aptitude
2221,Softmax converts logits to (A) Integers (B) Probabilities (C) Binary (D) Matrices,(B),Data Scientist,Aptitude
2222,"Sigmoid function output range is (A) (-1,1) (B) (0,1) (C) (0, infinity) (D) (-infinity, infinity)",(B),Data Scientist,Aptitude
2223,ReLU function for x<0 returns (A) x (B) -x (C) 0 (D) 1,(C),Data Scientist,Aptitude
2224,Information entropy is maximized when distribution is (A) Uniform (B) Normal (C) Skewed (D) Bimodal,(A),Data Scientist,Aptitude
2225,KL divergence is always (A) Negative (B) Zero (C) Non-negative (D) Positive,(C),Data Scientist,Aptitude
2226,Cross entropy loss is commonly used in (A) Regression (B) Classification (C) Clustering (D) Dimensionality reduction,(B),Data Scientist,Aptitude
2227,Gini impurity of a pure node is (A) 0 (B) 0.5 (C) 1 (D) Undefined,(A),Data Scientist,Aptitude
2228,What percentage is 45 out of 180? (A) 15% (B) 20% (C) 25% (D) 30%,(C),Data Scientist,Aptitude
2229,"A dataset has n=100, mean=50, sum of values is (A) 500 (B) 2500 (C) 5000 (D) 10000",(C),Data Scientist,Aptitude
2230,"If standard deviation doubles, variance becomes (A) Double (B) Triple (C) Quadruple (D) Half",(C),Data Scientist,Aptitude
2231,What is the covariance of a variable with itself? (A) 0 (B) 1 (C) Its variance (D) Its mean,(C),Data Scientist,Aptitude
2232,Pearson correlation ranges from (A) 0 to 1 (B) -1 to 0 (C) -1 to 1 (D) 0 to infinity,(C),Data Scientist,Aptitude
2233,Type I error is also called (A) True positive (B) False positive (C) False negative (D) True negative,(B),Data Scientist,Aptitude
2234,Type II error is also called (A) True positive (B) False positive (C) False negative (D) True negative,(C),Data Scientist,Aptitude
2235,A p-value of 0.03 at significance level 0.05 means (A) Accept null (B) Reject null (C) Insufficient data (D) Redo test,(B),Data Scientist,Aptitude
2236,Degrees of freedom for a t-test with n=20 is (A) 18 (B) 19 (C) 20 (D) 21,(B),Data Scientist,Aptitude
2237,Chi-squared test is used for (A) Mean comparison (B) Categorical data (C) Regression (D) Correlation,(B),Data Scientist,Aptitude
2238,The central limit theorem requires sample size of at least (A) 10 (B) 20 (C) 30 (D) 50,(C),Data Scientist,Aptitude
2239,A 95% confidence interval means (A) 95% of data is in range (B) 95% chance true value is in range (C) 5% error rate (D) Sample is 95% accurate,(B),Data Scientist,Aptitude
2240,ANOVA is used to compare (A) Two means (B) Two variances (C) Three or more means (D) Proportions,(C),Data Scientist,Aptitude
2241,The F-statistic is the ratio of (A) Means (B) Variances (C) Standard deviations (D) Medians,(B),Data Scientist,Aptitude
2242,Bonferroni correction adjusts for (A) Sample size (B) Multiple comparisons (C) Outliers (D) Missing data,(B),Data Scientist,Aptitude
2243,Power of a test equals (A) 1 - alpha (B) 1 - beta (C) alpha + beta (D) alpha * beta,(B),Data Scientist,Aptitude
2244,Effect size measures (A) Sample size (B) Practical significance (C) P-value (D) Confidence level,(B),Data Scientist,Aptitude
2245,Bootstrap sampling is done (A) Without replacement (B) With replacement (C) Stratified only (D) Systematically,(B),Data Scientist,Aptitude
